[10:53:11] [main/ERROR]: Can't find the resource index file: .\assets\indexes\1.7.10.json
[10:53:11] [main/INFO]: Setting user: Player784
[10:53:12] [Client thread/INFO]: LWJGL Version: 2.9.1
[10:53:16] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Learning To Mod
[10:53:16] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: %s in %s
[10:53:17] [Sound Library Loader/INFO]: Sound engine started
[10:53:17] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[10:53:17] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[10:53:17] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Learning To Mod
[10:53:17] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: %s in %s
[10:53:17] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[10:53:18] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[10:53:18] [Sound Library Loader/INFO]: Sound engine started
[10:53:24] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:53:24] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[10:53:28] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[10:53:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:54:06] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:54:32] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:54:38] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:54:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:55:12] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:55:25] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:55:54] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:56:23] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:56:36] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:56:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:57:12] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:57:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
[10:57:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:music.menu
